DATA,TMED,CHUVA
2023-01-01,25.95,0.0
2023-01-02,26.008333333333336,0.0
2023-01-03,24.2,1.9000000000000001
2023-01-04,21.066666666666666,1.6
2023-01-05,23.483333333333334,0.0
2023-01-06,22.65833333333333,0.6000000000000001
2023-01-07,23.691666666666666,7.6
2023-01-08,22.337500000000002,3.6
2023-01-09,23.025000000000002,0.0
2023-01-10,24.358333333333334,0.0
2023-01-11,25.520833333333332,0.0
2023-01-12,26.15416666666667,0.0
2023-01-13,26.17083333333333,20.7
2023-01-14,25.412500000000005,45.5
2023-01-15,23.40416666666667,28.799999999999997
2023-01-16,25.179166666666664,0.0
2023-01-17,25.22083333333333,0.0
2023-01-18,25.225000000000005,1.6
2023-01-19,25.50833333333333,6.9
2023-01-20,25.795833333333334,-3.552713678800501e-15
2023-01-21,25.895833333333332,0.0
2023-01-22,26.070833333333336,0.0
2023-01-23,26.025000000000002,1.0
2023-01-24,26.4375,0.0
2023-01-25,27.654166666666665,0.0
2023-01-26,27.09583333333333,0.0
2023-01-27,26.487499999999997,0.0
2023-01-28,26.275000000000002,0.0
2023-01-29,25.6875,2.0
2023-01-30,25.1375,0.0
2023-01-31,26.870833333333337,0.0
2023-02-01,26.85833333333333,0.0
2023-02-02,26.46666666666667,17.1
2023-02-03,25.22083333333333,48.699999999999996
2023-02-04,25.587499999999995,2.0
2023-02-05,25.42083333333333,0.3
2023-02-06,25.958333333333332,0.0
2023-02-07,25.849999999999998,1.0
2023-02-08,26.037500000000005,0.0
2023-02-09,25.933333333333334,47.99999999999999
2023-02-10,25.108333333333334,0.6
2023-02-11,26.112499999999997,0.0
2023-02-12,26.391666666666666,0.0
2023-02-13,26.90833333333333,0.0
2023-02-14,26.854166666666668,1.8
2023-02-15,25.54583333333333,0.3
2023-02-16,24.012500000000003,10.899999999999999
2023-02-17,25.058333333333337,3.3
2023-02-18,21.191666666666666,0.8999999999999999
2023-02-19,21.48333333333333,2.1
2023-02-20,21.645833333333332,50.9
2023-02-21,23.150000000000002,1.9000000000000001
2023-02-22,23.820833333333336,0.0
2023-02-23,23.125,38.7
2023-02-24,24.370833333333337,17.099999999999998
2023-02-25,25.795833333333334,0.0
2023-02-26,24.64166666666667,3.1
2023-02-27,24.091666666666665,0.0
2023-02-28,24.916666666666668,0.0
2023-03-01,23.329166666666662,2.8
2023-03-02,25.149999999999995,0.5
2023-03-03,25.929166666666664,0.0
2023-03-04,25.329166666666666,1.9000000000000001
2023-03-05,24.233333333333334,10.4
2023-03-06,24.908333333333335,0.0
2023-03-07,24.829166666666666,5.1
2023-03-08,25.712500000000002,7.8
2023-03-09,26.32857142857143,0.0
2023-03-10,25.212500000000002,3.6
2023-03-11,25.0625,0.0
2023-03-12,25.77916666666667,2.6
2023-03-13,25.816666666666666,7.8999999999999995
2023-03-14,25.75,11.0
2023-03-15,25.73333333333333,23.0
2023-03-16,25.183333333333337,0.3
2023-03-17,25.566666666666666,2.8
2023-03-18,24.67916666666667,0.0
2023-03-19,25.433333333333334,0.0
2023-03-20,26.77916666666667,0.0
2023-03-21,25.02916666666667,0.0
2023-03-22,25.774999999999995,6.7
2023-03-23,25.6125,46.7
2023-03-24,25.016666666666666,0.0
2023-03-25,25.133333333333336,0.0
2023-03-26,25.979166666666668,0.0
2023-03-27,23.945833333333336,0.0
2023-03-28,22.925,0.0
2023-03-29,24.804166666666664,8.799999999999999
2023-03-30,24.9875,0.0
2023-03-31,24.40416666666667,0.0
2023-04-01,22.645833333333332,0.0
2023-04-02,22.15416666666667,0.0
2023-04-03,23.00833333333333,0.0
2023-04-04,24.833333333333332,0.0
2023-04-05,23.76666666666667,0.5
2023-04-06,21.6375,2.0
2023-04-07,19.375,35.9
2023-04-08,20.9875,2.1
2023-04-09,22.962500000000002,0.0
2023-04-10,23.825,0.0
2023-04-11,23.90833333333333,0.0
2023-04-12,23.8625,0.0
2023-04-13,24.170833333333334,0.0
2023-04-14,21.295833333333334,48.099999999999994
2023-04-15,21.870833333333337,1.5
2023-04-16,22.804166666666664,4.6
2023-04-17,22.84583333333333,12.200000000000001
2023-04-18,19.733333333333334,9.7
2023-04-19,19.895833333333332,0.0
2023-04-20,18.054166666666664,0.0
2023-04-21,19.525000000000002,0.0
2023-04-22,21.075,1.6
2023-04-23,20.891666666666666,7.199999999999999
2023-04-24,21.629166666666666,6.1
2023-04-25,21.145833333333332,0.0
2023-04-26,22.008333333333336,0.0
2023-04-27,21.675,0.0
2023-04-28,20.90416666666667,0.0
2023-04-29,20.974999999999998,0.0
2023-04-30,21.608333333333334,0.0
2023-05-01,22.491666666666664,0.0
2023-05-02,21.05,0.0
2023-05-03,22.5,0.0
2023-05-04,22.912500000000005,29.8
2023-05-05,23.27916666666667,0.0
2023-05-06,23.770833333333332,0.0
2023-05-07,23.95,0.3
2023-05-08,23.7625,0.0
2023-05-09,20.5375,0.0
2023-05-10,18.404166666666665,0.0
2023-05-11,18.491666666666667,0.0
2023-05-12,17.833333333333332,0.0
2023-05-13,16.745833333333334,0.0
2023-05-14,18.433333333333334,0.0
2023-05-15,17.195833333333336,0.0
2023-05-16,17.9375,0.0
2023-05-17,16.654166666666665,0.0
2023-05-18,17.779166666666665,0.0
2023-05-19,19.954166666666666,0.0
2023-05-20,21.0125,0.0
2023-05-21,19.254166666666666,0.0
2023-05-22,20.724999999999998,0.0
2023-05-23,21.683333333333334,0.0
2023-05-24,20.820833333333333,0.0
2023-05-25,22.933333333333326,0.0
2023-05-26,23.058333333333337,0.0
2023-05-27,22.383333333333336,2.6
