Data;Hora (Local);Temp. Med. (C);Temp. Max. (C);Temp. Min. (C);Umi. Med. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Med. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Tend. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (graus);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm)
01/01/2025;000;24.2;24.2;24.2;86.9;87;86;21.9;21.9;21.7;-0.68;1013.55;1012.87;3.3;279;8;;0.0
01/01/2025;100;24.1;24.2;24.1;87;87;87;21.9;21.9;21.8;-0.34;1012.87;1012.53;3;313;6.4;;0.0
01/01/2025;200;24.2;24.3;24.1;87;87;87;21.9;21.9;21.8;-0.34;1012.53;1012.19;2.5;294;6.4;;0.0
01/01/2025;300;24.2;24.3;24;87.4;88;87;22;22.1;21.9;-0.34;1012.19;1011.51;3.9;14;12.9;;0.0
01/01/2025;400;24;24;24;88;88;88;21.9;21.9;21.9;0.34;1012.19;1011.85;2.9;56;8;;0.0
01/01/2025;500;24.1;24.5;24;88;88;88;22;22.4;21.9;0.34;1012.53;1012.19;3.6;56;9.7;;0.0
01/01/2025;600;25.1;25.4;24.5;86.5;88;86;22.7;22.9;22.4;0.68;1013.21;1012.53;3.4;316;9.7;;0.0
01/01/2025;700;25.8;26.7;25.3;84.7;86;81;23;23.4;22.8;0;1013.55;1013.21;2.4;103;9.7;;0.0
01/01/2025;800;27.5;29.3;26.6;78.9;81;73;23.5;24;23.1;0.34;1013.55;1013.21;4;270;11.3;;0.0
01/01/2025;900;28.9;29.9;27.9;73.5;78;68;23.7;24.1;23.2;0;1013.55;1013.55;6;329;12.9;;0.0
01/01/2025;1000;30.4;31.4;29.5;66.5;70;64;23.4;24.3;22.7;-0.68;1013.55;1012.87;7.2;336;20.9;;0.0
01/01/2025;1100;30.9;31.4;30.4;66.5;70;65;23.9;24.9;23.4;-0.68;1012.87;1012.19;7.7;312;19.3;;0.0
01/01/2025;1200;31.5;31.9;31;65.4;70;61;24.2;25;23.3;-0.68;1012.19;1011.51;7.9;302;17.7;;0.0
01/01/2025;1300;32;32.4;31.7;59.9;64;56;23.2;24.2;22.3;-1.37;1011.51;1010.16;8.8;296;20.9;;0.0
01/01/2025;1400;31.3;32.3;29.4;63.5;71;58;23.5;24.1;22.6;0;1010.16;1009.82;9;300;17.7;;0.0
01/01/2025;1500;29.2;29.8;28.2;70.9;75;68;23.4;23.8;22.9;-0.34;1010.16;1009.82;8.6;311;24.1;;0.0
01/01/2025;1600;27.7;28.2;27.4;74.9;76;74;22.9;23.3;22.6;0.34;1010.16;1009.48;7.2;298;20.9;;0.0
01/01/2025;1700;27;27.7;26.4;76.9;79;75;22.6;23;22.2;0.34;1010.5;1010.16;6;308;16.1;;0.0
01/01/2025;1800;26.2;26.4;25.9;80.3;82;78;22.5;22.7;22.1;0.68;1011.18;1010.5;6.1;304;16.1;;0.0
01/01/2025;1900;25.7;25.9;25.7;82.8;84;82;22.6;22.8;22.4;0.68;1012.19;1011.18;5.8;313;12.9;;0.0
01/01/2025;2000;25.6;25.7;25.6;83.6;84;83;22.6;22.8;22.5;1.36;1013.21;1011.85;6.3;300;16.1;;0.0
01/01/2025;2100;25.5;25.6;24.9;84.3;86;84;22.7;22.7;22.4;0;1013.21;1012.87;4;350;11.3;;0.0
01/01/2025;2200;24;24.9;23.3;87.5;88;86;21.8;22.6;21;0;1013.88;1013.21;3.5;172;14.5;;0.0
01/01/2025;2300;23.3;23.5;23.3;87;87;87;21;21.2;21;-0.68;1013.21;1012.19;4.1;70;9.7;;0.0
02/01/2025;000;24;24.4;23.4;87;87;87;21.7;22.1;21.1;-1.37;1012.53;1011.18;3.7;349;14.5;;0.0
02/01/2025;100;24.6;24.8;24.4;87.6;88;87;22.4;22.7;22.1;-1.02;1011.18;1010.16;4.9;354;12.9;;0.0
02/01/2025;200;24.8;24.8;24.7;88;88;88;22.6;22.7;22.6;-1.02;1010.16;1009.14;5.3;241;14.5;;0.0
02/01/2025;300;24.6;24.7;24.3;88.8;91;88;22.7;22.9;22.6;-0.34;1009.14;1008.81;5.1;19;19.3;;0.8
02/01/2025;400;24;24.3;23.7;91;91;91;22.4;22.7;22.2;0;1009.14;1008.81;2.6;87;11.3;;0.0
02/01/2025;500;23.9;24.1;23.7;89.8;91;88;22.1;22.2;21.9;0.68;1009.48;1008.81;2.9;137;8;;0.0
02/01/2025;600;25.3;28;24.1;86.3;88;79;22.8;24.3;22;0.34;1009.82;1009.48;2.9;39;8;;0.0
02/01/2025;700;27.5;29;26.7;79;81;76;23.5;24.3;23;0.34;1010.16;1009.82;2.8;293;6.4;;0.0
02/01/2025;800;27.2;28;26.8;79.8;81;76;23.4;23.6;23.2;0;1010.16;1010.16;2.6;344;9.7;;0.0
02/01/2025;900;28.5;29.3;27.9;73.3;76;71;23.3;23.4;23;0.34;1010.84;1010.16;1.8;203;6.4;;0.0
02/01/2025;1000;26.9;28.2;25.3;81.1;83;75;23.4;23.8;22.2;0.68;1011.18;1010.5;2.1;102;11.3;;0.0
02/01/2025;1100;24.2;25.3;23.8;84.5;85;82;21.4;22.2;21;-0.34;1011.18;1010.5;7.5;175;17.7;;0.0
02/01/2025;1200;26.2;29.2;24.7;77.1;82;66;21.8;23.1;21.3;-2.39;1010.84;1008.47;4.6;95;11.3;;0.0
02/01/2025;1300;29.9;31.2;29;63.9;69;60;22.3;23.3;21.4;-1.36;1008.47;1007.11;5.3;104;11.3;;0.0
02/01/2025;1400;30;30.9;28.7;67.2;71;64;23.2;23.9;22.4;-0.69;1007.11;1006.43;5.8;326;11.3;;0.0
02/01/2025;1500;30.1;31.2;29.4;66.7;71;63;23.2;24.1;22.6;-0.34;1006.43;1005.76;5.7;337;12.9;;0.0
