Data;Hora (Local);Temp. Med. (C);Temp. Max. (C);Temp. Min. (C);Umi. Med. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Med. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Tend. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (graus);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm)
01/06/2023;000;16.2;16.5;16;93;93;93;15.1;15.4;14.9;-0.68;1021;1020.32;0;23;0;;0.0
01/06/2023;100;16;16.2;15.7;93.7;94;93;15;15.3;14.8;-0.34;1020.32;1019.98;0;23;0;;0.0
01/06/2023;200;15.6;15.8;15.4;94;94;94;14.7;14.8;14.4;-0.34;1019.98;1019.64;0;23;0;;0.0
01/06/2023;300;15.3;15.4;15.1;94;94;94;14.3;14.4;14.2;-0.34;1019.64;1019.3;0;23;0;;0.0
01/06/2023;400;15;15.2;14.7;94.8;95;94;14.2;14.4;13.8;0;1019.3;1018.96;0;23;0;;0.0
01/06/2023;500;14.8;15.1;14.6;94.4;95;94;13.9;14.3;13.7;0.34;1019.64;1019.3;0;23;0;;0.0
01/06/2023;600;14.7;15.1;14.5;95;95;95;14;14.3;13.7;0.68;1020.32;1019.64;0;23;0;;0.0
01/06/2023;700;15.4;16.1;14.9;95.6;96;95;14.8;15.4;14.1;0.68;1021;1020.32;0;248;0;;0.0
01/06/2023;800;17.2;19.8;15.9;94.8;96;89;16.4;18.1;15.3;0.34;1021.33;1021;0;248;0;;0.0
01/06/2023;900;21.2;23.2;19.5;81.1;89;74;17.8;18.3;17.3;0.34;1021.67;1021.33;0;248;0;;0.0
01/06/2023;1000;23.3;23.8;22.5;67.2;76;63;16.8;18.3;15.8;0;1021.67;1021.67;0.1;225;3.2;;0.0
01/06/2023;1100;24.1;25.1;23.4;64.1;66;62;16.9;17.6;16.3;-1.02;1021.67;1020.66;0;257;1.6;;0.0
01/06/2023;1200;25.3;25.8;24.6;63.5;66;62;17.8;18.4;17.1;-0.68;1020.66;1019.98;0;216;1.6;;0.0
01/06/2023;1300;25.6;26;25.2;62.5;65;61;17.9;18.6;17.4;-0.68;1019.98;1019.3;0.1;219;3.2;;0.0
01/06/2023;1400;25.4;25.8;25;62.3;64;60;17.7;18.4;17.1;-0.34;1019.3;1018.96;0;23;1.6;;0.0
01/06/2023;1500;24.6;25.2;23.7;65.3;69;63;17.6;17.9;17.2;0.34;1019.3;1018.96;0;23;0;;0.0
01/06/2023;1600;23.1;23.8;22.4;72.6;75;69;17.9;18.2;17.5;0.34;1019.64;1019.3;0;23;0;;0.0
01/06/2023;1700;21.3;22.4;20.2;78.4;81;75;17.3;17.8;16.8;0.34;1019.98;1019.64;0;0;0;;0.0
01/06/2023;1800;19.6;20.2;19;85.5;88;81;17.1;17.3;16.7;0.68;1020.66;1019.98;0;90;0;;0.0
01/06/2023;1900;18.4;19;17.9;89.5;90;88;16.7;17.2;16.2;0.68;1021.33;1020.66;0;315;0;;0.0
01/06/2023;2000;17.9;18.1;17.7;91.6;92;90;16.5;16.8;16.1;0;1021.33;1021.33;0;45;0;;0.0
