rad,p_estacao,p_mar,pmax,pmin,t_seco,tmax,tmin,t_orvalho,tomax,tomin,prec,urar,urmax,urmin,ventodir,rajada,ventovel
664.975,1005.6583333333333,1006.3583333333332,1009.5,1002.3,26.854166666666668,33.2,24.3,21.825,23.7,21.0,3.4,74.66666666666667,87.0,52.0,256.375,7.9,2.1374999999999997
827.3208333333333,1007.5749999999999,1008.275,1011.6,1003.7,24.920833333333334,29.4,23.2,20.825,22.6,18.3,3.6,78.45833333333333,89.0,52.0,187.33333333333334,13.9,3.795833333333333
1139.75,1013.7291666666666,1014.4291666666667,1015.8,1011.5,23.816666666666666,26.7,21.8,19.766666666666666,21.5,18.4,7.0,78.29166666666667,89.0,65.0,160.58333333333334,12.2,3.9499999999999997
548.0333333333333,1012.6416666666668,1013.3416666666667,1014.9,1010.7,24.462500000000002,26.9,22.7,19.900000000000002,21.2,18.7,4.8,75.91666666666667,89.0,64.0,134.20833333333334,11.1,3.9291666666666667
885.6458333333334,1008.8249999999999,1009.525,1011.6,1005.9,24.295833333333334,30.1,20.3,19.291666666666668,20.7,17.8,0.2,74.75,89.0,51.0,182.33333333333334,6.6,1.9124999999999999
1119.8166666666666,1006.5791666666668,1007.2791666666667,1008.9,1003.9,25.858333333333334,31.3,21.3,20.087500000000002,22.1,18.0,0.0,71.79166666666667,88.0,52.0,137.16666666666666,11.4,1.925
806.6958333333333,1006.7291666666666,1007.4291666666667,1008.9,1005.6,26.958333333333332,34.6,23.2,21.566666666666666,23.3,17.8,21.2,73.33333333333333,89.0,41.0,168.41666666666666,12.4,2.191666666666667
729.6416666666668,1010.6999999999999,1011.4,1012.3,1008.8,25.541666666666668,28.9,23.8,21.454166666666666,22.8,20.0,3.0,78.41666666666667,87.0,63.0,160.375,8.4,2.3833333333333333
1123.825,1010.1958333333333,1010.8958333333334,1011.9,1008.6,27.416666666666668,33.1,23.4,21.849999999999998,23.6,20.0,0.0,72.91666666666667,88.0,49.0,131.45833333333334,6.6,1.625
936.0333333333333,1008.8708333333334,1009.5708333333333,1011.6,1005.8,27.849999999999998,31.2,25.2,23.170833333333334,25.2,22.0,0.0,76.0,83.0,63.0,154.04166666666666,11.0,2.3833333333333333
846.5708333333333,1008.5416666666666,1009.2416666666667,1010.7,1005.1,26.474999999999998,30.2,23.2,22.370833333333334,24.7,20.0,30.8,78.66666666666667,91.0,66.0,207.125,12.4,2.6083333333333334
1133.0375000000001,1012.7541666666666,1013.4541666666668,1015.0,1010.5,26.21666666666667,30.4,21.5,20.650000000000002,22.8,19.0,0.0,72.04166666666667,89.0,57.0,189.375,10.0,2.191666666666667
1247.3041666666666,1016.1291666666666,1016.85,1017.3,1015.0,25.037499999999998,29.7,19.6,18.2,21.6,14.4,0.0,67.0,85.0,40.0,179.45833333333334,8.5,2.466666666666667
1231.2291666666667,1015.4125,1016.1125000000001,1018.4,1012.7,26.483333333333334,30.5,22.9,19.091666666666665,21.4,13.8,0.2,65.25,88.0,37.0,110.75,10.2,2.2666666666666666
1228.0291666666667,1011.2958333333332,1011.9958333333334,1014.4,1007.7,26.683333333333334,31.5,22.3,19.691666666666666,22.4,16.0,0.0,66.33333333333333,82.0,45.0,189.95833333333334,12.9,2.845833333333333
530.6916666666667,1011.8083333333334,1012.5083333333333,1018.3,1008.0,25.575,29.2,23.3,20.3625,24.2,11.1,1.2,73.5,88.0,46.0,240.29166666666666,14.8,3.4499999999999997
759.0416666666666,1020.3458333333333,1021.1041666666666,1021.9,1018.1,22.775000000000002,26.1,20.1,12.970833333333333,15.6,10.4,0.0,54.333333333333336,63.0,39.0,188.45833333333334,10.9,2.6958333333333333
723.3874999999999,1020.5041666666666,1021.2583333333333,1022.3,1018.3,23.09166666666667,27.4,18.8,14.933333333333332,17.0,13.6,0.0,60.583333333333336,75.0,48.0,154.20833333333334,7.5,1.75
1200.0666666666668,1017.3625000000001,1018.0791666666668,1019.3,1015.2,24.895833333333332,29.2,20.9,17.770833333333332,19.4,16.3,0.0,65.04166666666667,81.0,50.0,170.08333333333334,11.5,2.066666666666667
1074.7833333333333,1013.9333333333334,1014.6333333333333,1016.5,1010.8,25.829166666666666,30.5,21.4,19.483333333333334,20.8,18.3,0.0,68.83333333333333,85.0,50.0,160.5,10.2,2.1875
1072.8958333333333,1011.2375000000001,1011.9375,1013.1,1009.9,26.120833333333334,29.6,24.0,18.316666666666666,20.3,15.4,0.0,62.708333333333336,75.0,49.0,84.79166666666667,9.1,2.4166666666666665
238.0375,1011.8458333333333,1012.5458333333332,1013.0,1009.9,22.916666666666668,25.5,20.6,18.970833333333335,20.8,16.3,4.6,79.125,89.0,57.0,225.5,8.4,1.2375
456.4458333333334,1011.6416666666668,1012.3874999999999,1013.5,1010.1,21.34583333333333,23.8,19.9,19.029166666666665,20.6,17.9,33.4,86.75,91.0,76.0,193.79166666666666,11.3,2.341666666666667
1034.3291666666667,1009.775,1010.4833333333332,1011.5,1008.2,22.9875,26.6,19.5,19.054166666666667,21.3,17.5,12.0,79.0,90.0,64.0,172.16666666666666,11.1,3.1750000000000003
1271.35,1009.0500000000001,1009.7708333333334,1010.3,1007.7,23.84166666666667,29.3,17.2,16.604166666666668,19.7,13.8,0.0,65.875,90.0,41.0,165.54166666666666,9.5,1.6083333333333334
1240.9916666666666,1009.5416666666666,1010.2416666666667,1010.9,1008.0,25.304166666666664,32.0,20.0,19.2,21.7,17.1,0.0,70.08333333333333,87.0,48.0,170.875,8.6,1.675
