rad,pmax,pmin,pmed,tmax,tmin,tmed,tomax,tomin,tomed,prec,urar,urmax,urmin,ventodir,rajada,ventovel
,1014.9,1011.18,0.11333333333333334,36.0,23.4,27.683333333333334,26.8,21.3,24.454166666666666,6.6,83.64583333333333,94.0,57.0,104.58333333333333,16.1,2.904166666666667
,1014.9,1010.16,-0.0425,36.0,23.1,27.4875,26.2,22.2,23.71666666666667,4.0,81.67083333333333,96.0,50.0,98.625,14.5,1.8499999999999999
,1014.22,1011.51,0.014166666666666668,31.9,22.5,25.679166666666664,24.3,19.2,21.816666666666666,0.3,80.10416666666667,94.0,59.0,201.54166666666666,17.7,2.529166666666667
,1016.59,1012.53,0.08374999999999999,31.8,20.9,25.945833333333336,23.0,19.3,21.5625,0.0,77.90416666666667,95.0,55.0,123.45833333333333,12.9,1.8541666666666667
,1016.59,1013.55,-0.01499999999999999,31.9,24.6,26.916666666666668,25.8,21.9,23.741666666666664,0.5,82.96666666666667,89.0,68.0,88.58333333333333,17.7,2.783333333333333
,1016.93,1013.55,-0.029166666666666674,34.7,25.4,28.958333333333332,26.1,23.1,24.3875,0.0,77.37083333333334,92.0,58.0,124.54166666666667,17.7,3.9458333333333333
,1015.58,1010.16,-0.1416666666666667,34.5,24.4,28.416666666666668,24.8,22.4,23.629166666666666,0.0,76.70833333333333,92.0,52.0,123.875,24.1,3.954166666666666
,1012.19,1006.77,-0.05666666666666665,35.7,26.4,29.245833333333334,25.9,23.7,24.583333333333332,0.0,77.175,89.0,54.0,112.83333333333333,19.3,4.354166666666667
,1012.87,1009.14,0.07083333333333335,31.5,22.9,26.075,25.1,21.9,23.066666666666666,31.8,84.22500000000001,96.0,65.0,169.29166666666666,22.5,3.0666666666666664
,1012.87,1009.14,-0.02833333333333335,32.2,23.1,26.175,25.4,21.7,23.150000000000002,8.7,84.00416666666666,94.0,65.0,128.33333333333334,16.1,1.3791666666666667
,1014.22,1010.5,0.09916666666666668,29.9,22.9,25.3125,25.4,21.9,23.34166666666667,13.5,89.07916666666667,95.0,75.0,150.79166666666666,8.0,0.6583333333333333
,1014.56,1010.84,-0.014166666666666673,34.7,23.1,27.45,26.3,22.1,23.575,39.1,80.54583333333333,95.0,57.0,123.66666666666667,16.1,1.5083333333333335
,1013.88,1007.79,-0.11208333333333333,34.0,24.6,28.395833333333332,25.9,23.3,24.454166666666666,0.0,80.25,94.0,61.0,148.91666666666666,20.9,1.8583333333333334
,1011.85,1005.76,-0.008333333333333358,35.4,23.3,29.1375,27.6,21.1,25.145833333333332,17.599999999999998,79.89583333333333,93.0,60.0,225.0,20.9,2.1708333333333334
,1013.21,1006.43,0.08541666666666668,34.6,23.5,27.90833333333333,27.0,22.2,24.275000000000002,84.10000000000001,81.68333333333334,95.0,61.0,225.0,33.8,2.120833333333333
,1014.9,1011.18,0.07041666666666666,32.6,23.1,26.629166666666666,24.9,22.3,23.3,7.8999999999999995,82.9375,96.0,60.0,225.0,19.3,3.3333333333333335
,1014.9,1011.85,-0.028750000000000008,32.9,24.8,26.754166666666666,25.4,22.4,23.65833333333333,0.0,83.425,90.0,64.0,225.0,8.0,0.275
,1013.88,1007.11,-0.1416666666666667,33.5,22.9,27.508333333333336,26.1,21.9,23.804166666666664,24.3,81.28750000000001,94.0,57.0,225.0,22.5,2.4625
,1012.53,1007.11,0.07083333333333333,33.1,22.1,25.53333333333333,25.6,20.2,22.5125,4.4,84.21666666666667,95.0,62.0,225.0,25.7,3.1791666666666667
,1017.27,1012.19,0.19833333333333336,22.5,20.0,20.962500000000002,20.4,17.6,18.966666666666665,12.299999999999999,88.42083333333333,93.0,80.0,225.0,22.5,2.4
,1016.93,1013.21,-0.1475,22.5,20.4,21.0,20.3,18.7,19.5125,18.7,91.34166666666665,97.0,86.0,225.0,11.3,0.5458333333333333
,1013.55,1010.5,-0.042916666666666665,27.3,20.8,23.09583333333333,21.8,20.0,20.716666666666665,2.9,86.88333333333333,97.0,72.0,225.0,17.7,1.6041666666666667
,1015.92,1011.18,0.14166666666666666,29.9,21.2,24.829166666666666,23.7,19.7,21.166666666666668,0.0,80.54166666666667,92.0,67.0,225.0,24.1,1.0916666666666666
,1016.93,1012.87,-0.12833333333333333,27.5,20.6,22.991666666666664,22.3,17.2,19.849999999999998,11.0,82.7375,90.0,68.0,225.0,20.9,1.0625
,1012.87,1008.47,-0.014583333333333325,33.0,19.3,25.525000000000002,24.9,17.8,21.337500000000002,0.0,78.58749999999999,94.0,56.0,225.0,11.3,0.32916666666666666
,1013.55,1007.45,-9.25185853854297e-18,36.4,23.4,27.425,27.6,21.1,23.883333333333336,9.4,82.20833333333333,94.0,57.0,225.0,20.9,0.9333333333333335
,1017.95,1010.84,0.22666666666666668,29.8,22.0,24.370833333333334,24.0,18.0,21.3,0.20000000000000018,83.58333333333333,95.0,64.0,225.0,24.1,2.9416666666666664
,1022.69,1017.27,0.19833333333333336,29.3,18.6,22.962500000000002,20.3,15.8,18.0,25.099999999999998,74.91250000000001,95.0,52.0,225.0,25.7,3.6791666666666667
,1024.04,1021.33,0.0,22.3,18.2,19.599999999999998,19.4,17.2,17.966666666666665,19.3,90.5125,95.0,79.0,225.0,16.1,0.725
,1022.69,1018.29,-0.18416666666666667,27.4,18.7,21.912499999999998,21.9,17.6,18.966666666666665,8.2,83.87083333333334,96.0,66.0,225.0,16.1,0.8333333333333334
,1018.29,1012.19,-0.255,26.6,20.3,23.40833333333333,21.7,19.3,20.541666666666668,2.1,84.22500000000001,94.0,73.0,225.0,19.3,1.125
,1012.19,1005.08,-0.17,24.9,19.9,23.241666666666664,22.6,18.3,20.341666666666665,3.7,83.81666666666666,92.0,77.0,225.0,19.3,1.425
,1008.81,1005.76,0.014583333333333335,28.7,19.2,23.775000000000002,22.0,17.9,20.204166666666666,0.0,81.28750000000001,93.0,64.0,225.0,4.8,0.016666666666666666
,1011.51,1006.77,0.11333333333333334,31.6,19.8,24.6375,21.4,16.3,19.041666666666668,0.0,73.49583333333334,94.0,42.0,225.0,16.1,0.9041666666666667
,1017.27,1011.18,0.255,30.7,18.8,23.6125,22.6,17.4,19.462500000000002,0.0,78.52916666666667,93.0,57.0,225.0,11.3,0.3416666666666666
