Data;Hora (Local);Temp. Med. (C);Temp. Max. (C);Temp. Min. (C);Umi. Med. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Med. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Tend. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (graus);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm)
01/08/2023;000;13.7;14.3;13.2;88.8;90;88;11.9;12.5;11.4;0.34;1023.37;1023.03;0;45;0;;0.0
01/08/2023;100;13.3;13.6;13.2;90;90;90;11.7;12;11.6;-0.68;1023.37;1022.69;0;45;0;;0.0
01/08/2023;200;13.3;13.5;13.1;91.2;92;90;11.9;12.2;11.5;-0.34;1022.69;1022.35;0;23;0;;0.0
01/08/2023;300;13.2;13.5;13;93;93;92;12.1;12.4;11.9;-0.68;1022.35;1021.67;0;23;0;;0.0
01/08/2023;400;13;13.3;12.8;93.6;94;93;12;12.3;11.7;0.34;1022.01;1021.67;0;23;0;;0.0
01/08/2023;500;12.8;12.9;12.7;94;94;94;11.9;11.9;11.8;0.34;1022.35;1022.01;0;45;0;;0.0
01/08/2023;600;13.2;13.7;12.7;94.4;95;94;12.3;12.9;11.8;0.68;1023.03;1022.35;0;45;0;;0.0
01/08/2023;700;13.9;15.1;13.4;95.2;96;95;13.2;14.5;12.6;0.34;1023.37;1023.03;0;0;0;;0.0
01/08/2023;800;16.4;18.5;15.1;90.7;96;81;14.9;15.4;14.5;0.68;1024.04;1023.37;0;45;1.6;;0.0
01/08/2023;900;19.2;20.3;18.3;78.8;82;75;15.5;15.8;15.2;0;1024.04;1024.04;0;23;1.6;;0.0
01/08/2023;1000;21.3;22.5;19.9;69.3;75;60;15.4;15.9;14.1;-0.68;1024.04;1023.37;0.1;24;4.8;;0.0
01/08/2023;1100;23.4;24.5;22.4;57.4;62;51;14.5;15.1;13.6;-0.68;1023.37;1022.69;0.4;28;9.7;;0.0
01/08/2023;1200;24.6;25.1;24;53.8;56;52;14.6;15.1;13.8;-1.02;1022.69;1021.67;2.4;52;14.5;;0.0
01/08/2023;1300;24.6;25.1;24.1;56.2;58;55;15.3;15.7;14.9;-1.02;1021.67;1020.66;3.1;30;14.5;;0.0
01/08/2023;1400;24.8;25.3;24.5;54.7;56;53;15.1;15.6;14.8;-0.68;1020.66;1019.98;2.7;34;14.5;;0.0
01/08/2023;1500;24.2;24.8;23.5;55.1;57;54;14.6;14.9;14.3;-0.34;1019.98;1019.64;4.7;55;17.7;;0.0
01/08/2023;1600;22.8;23.6;22;60.2;62;57;14.6;14.9;14.3;0.34;1019.98;1019.3;4.4;34;16.1;;0.0
01/08/2023;1700;21;22;20.1;68.1;74;62;14.9;15.3;14.4;0;1019.98;1019.98;3.1;51;12.9;;0.0
01/08/2023;1800;19.5;20.1;19.1;76.6;78;74;15.2;15.4;15.1;0.34;1020.32;1019.98;3.1;55;16.1;;0.0
01/08/2023;1900;18.9;19.1;18.7;79.4;81;78;15.3;15.4;15.2;0.34;1020.66;1020.32;2.6;53;12.9;;0.0
01/08/2023;2000;18.8;18.8;18.6;79.8;81;79;15.2;15.4;14.9;0;1020.66;1020.66;3.3;58;14.5;;0.0
01/08/2023;2100;18.6;18.7;18.5;80.5;82;80;15.2;15.5;15.1;0.34;1021;1020.66;4.3;71;16.1;;0.0
01/08/2023;2200;18.3;18.5;18.2;85.7;88;82;15.9;16.3;15.4;0;1021;1020.66;3;67;12.9;;0.0
01/08/2023;2300;18.1;18.2;18;88.9;90;88;16.3;16.4;16.2;-0.34;1021;1020.66;1.8;63;11.3;;0.0
02/08/2023;000;17.9;18;17.8;90;90;90;16.2;16.3;16.1;-0.34;1020.66;1020.32;1.3;66;11.3;;0.0
02/08/2023;100;17.6;17.9;17.3;90;90;90;15.9;16.2;15.6;-0.68;1020.32;1019.64;0.4;64;6.4;;0.0
02/08/2023;200;17.1;17.3;16.9;90;90;90;15.4;15.6;15.2;0;1019.98;1019.64;0.1;76;4.8;;0.0
02/08/2023;300;16.9;16.9;16.8;90;90;90;15.2;15.2;15.1;-0.34;1019.64;1019.3;0.9;53;8;;0.0
02/08/2023;400;16.6;16.8;16.4;90.8;91;90;15.1;15.3;14.9;-0.34;1019.3;1018.96;0.3;45;6.4;;0.0
02/08/2023;500;16.4;16.6;16.1;91;91;91;14.9;15.1;14.7;0.34;1019.3;1018.96;0.1;19;4.8;;0.0
02/08/2023;600;16.4;16.6;16;92;92;91;15.1;15.3;14.7;0.34;1019.64;1019.3;0.3;19;8;;0.0
02/08/2023;700;16.6;16.8;16.6;92;92;92;15.3;15.4;15.3;0.34;1019.98;1019.64;0.2;42;8;;0.0
02/08/2023;800;17.2;17.6;16.8;89.4;92;87;15.5;15.7;15.1;0.34;1020.32;1019.98;0.2;55;6.4;;0.0
02/08/2023;900;18.9;20.2;17.2;82.5;88;78;15.8;16.3;15.2;0;1020.32;1019.98;2.1;22;11.3;;0.0
02/08/2023;1000;21.1;22.3;20.1;75.2;78;72;16.6;17.2;16.1;-0.68;1020.32;1019.64;2;15;9.7;;0.0
02/08/2023;1100;23.1;24.1;22;69.5;73;66;17.2;17.9;16.7;-1.36;1019.64;1018.29;0.8;13;9.7;;0.0
02/08/2023;1200;24.1;24.8;23.6;66.5;68;65;17.5;17.9;17.2;-1.02;1018.29;1017.27;1.5;21;12.9;;0.0
02/08/2023;1300;24.9;25.5;24.5;64.7;66;63;17.7;18.2;17.5;-0.7;1017.27;1016.59;1.1;15;11.3;;0.0
02/08/2023;1400;25.5;25.9;25.2;62.6;64;62;17.8;18.2;17.6;-1.06;1016.59;1015.58;0.6;30;8;;0.0
02/08/2023;1500;25.4;25.9;24.9;62.2;64;61;17.6;18.1;17.3;-0.34;1015.58;1015.24;0.1;322;4.8;;0.0
02/08/2023;1600;24.1;24.9;23.4;66.2;68;64;17.4;17.7;17.1;0;1015.24;1015.24;0;0;4.8;;0.0
02/08/2023;1700;22.1;23.5;20.8;71.8;77;67;16.8;17.2;16.4;0.34;1015.58;1015.24;0;0;0;;0.0
02/08/2023;1800;19.9;20.8;19.3;79.9;83;77;16.3;16.8;15.9;0.34;1015.92;1015.58;0;45;0;;0.0
02/08/2023;1900;18.8;19.7;18.1;84.2;87;83;16.1;16.7;15.4;0.34;1016.26;1015.92;0;45;0;;0.0
