DATA,TMED,CHUVA
2023-06-05,19.6875,0.0
2023-06-06,20.6375,0.0
2023-06-07,20.395833333333332,0.0
2023-06-08,20.066666666666666,0.0
2023-06-09,21.495833333333334,0.0
2023-06-10,22.645833333333332,0.0
2023-06-11,18.695833333333333,8.1
2023-06-12,13.462499999999999,16.799999999999997
2023-06-13,14.262500000000001,4.5
2023-06-14,15.180952380952382,29.0
2023-06-15,18.59444444444445,58.60000000000001
2023-06-16,19.504166666666666,0.0
2023-06-17,16.675,0.0
2023-06-18,14.595833333333331,0.0
2023-06-19,14.112499999999999,0.0
2023-06-20,17.420833333333334,0.0
2023-06-21,18.416666666666668,0.0
2023-06-22,20.037499999999998,0.8
2023-06-23,18.291666666666668,8.0
2023-06-24,21.570833333333336,0.0
2023-06-25,22.458333333333332,0.0
2023-06-26,21.787499999999998,0.0
2023-06-27,22.21666666666667,0.0
2023-06-28,22.775000000000002,0.0
2023-06-29,16.912499999999998,0.0
2023-06-30,17.375,0.0
2023-07-01,18.533333333333335,0.0
2023-07-02,18.116666666666667,0.0
2023-07-03,19.233333333333334,0.5
2023-07-04,18.770833333333332,0.0
2023-07-05,18.670833333333334,0.6
2023-07-06,20.004166666666666,0.0
2023-07-07,20.379166666666666,0.0
2023-07-08,19.45,20.2
2023-07-09,18.98333333333333,0.0
2023-07-10,19.1875,24.900000000000002
2023-07-11,17.7,21.5
2023-07-12,18.913043478260867,28.300000000000004
2023-07-13,19.917391304347824,0.0
2023-07-14,15.733333333333333,0.0
2023-07-15,15.270833333333334,0.0
2023-07-16,16.825,0.0
2023-07-17,15.658333333333331,0.8
2023-07-18,13.608333333333334,0.0
2023-07-19,15.616666666666667,0.0
2023-07-20,16.787499999999998,2.2
2023-07-21,19.341666666666665,0.3
2023-07-22,20.479166666666668,0.0
2023-07-23,21.520833333333332,0.0
2023-07-24,20.325,0.0
2023-07-25,20.72083333333333,0.0
2023-07-26,22.066666666666666,0.3
2023-07-27,18.070588235294117,0.0
2023-07-28,16.779166666666665,1.5
2023-07-29,15.570833333333335,0.0
2023-07-30,15.829166666666666,0.0
2023-07-31,17.900000000000002,0.0
2023-08-01,18.370833333333334,0.0
2023-08-02,19.508333333333333,0.0
2023-08-03,16.83636363636364,0.0
2023-08-04,21.74,0.0
2023-08-05,20.787499999999998,0.0
2023-08-06,20.974999999999998,0.0
2023-08-07,20.599999999999998,4.9
2023-08-08,17.11,0.5
2023-08-09,17.0625,14.799999999999999
2023-08-10,20.383333333333333,1.6
2023-08-11,19.928571428571427,6.1
2023-08-12,17.270833333333332,7.2
2023-08-13,14.425000000000002,0.0
2023-08-14,17.0,0.0
2023-08-15,18.833333333333332,0.0
2023-08-16,21.29583333333333,0.0
2023-08-17,20.300000000000004,0.0
2023-08-18,23.51304347826087,21.400000000000002
2023-08-19,17.9875,1.5
2023-08-20,19.908333333333335,0.0
2023-08-21,20.349999999999998,0.0
2023-08-22,20.6875,0.0
2023-08-23,23.78461538461539,0.0
2023-08-24,18.634782608695648,43.7
2023-08-25,15.691666666666665,4.8999999999999995
2023-08-26,15.75,0.0
2023-08-27,13.9625,0.0
2023-08-28,14.008333333333335,0.0
2023-08-29,15.879166666666668,3.1
2023-08-30,18.287499999999998,1.7000000000000002
2023-08-31,19.770833333333332,0.0
2023-09-01,19.020833333333332,0.0
2023-09-02,19.299999999999997,3.9
2023-09-03,19.71666666666667,14.5
2023-09-04,22.92666666666667,3.2
2023-09-05,19.808333333333334,0.3
2023-09-06,17.604166666666668,0.0
2023-09-07,20.65,0.0
2023-09-08,22.350000000000005,0.0
2023-09-09,19.862499999999997,1.5
2023-09-10,19.575,0.0
2023-09-11,21.820833333333336,0.0
2023-09-12,23.058333333333337,0.0
2023-09-13,21.979166666666668,0.5
2023-09-14,19.662499999999998,0.0
2023-09-15,17.033333333333335,0.0
2023-09-16,20.545833333333334,0.0
2023-09-17,23.1125,0.0
2023-09-18,24.3,7.6
2023-09-19,22.662499999999998,9.100000000000001
2023-09-20,24.80588235294118,0.0
2023-09-21,24.65,0.3
2023-09-22,23.529166666666665,0.0
2023-09-23,22.366666666666664,0.0
2023-09-24,23.458333333333332,1.0
2023-09-25,19.754166666666666,12.7
2023-09-26,20.379166666666666,28.6
2023-09-27,20.5625,18.1
2023-09-28,18.708333333333332,0.8
2023-09-29,19.42105263157895,4.699999999999999
2023-09-30,20.28333333333333,5.4
2023-10-01,19.400000000000002,0.8
2023-10-02,17.3875,0.0
2023-10-03,19.358333333333334,0.0
2023-10-04,20.318181818181817,64.8
